Date,US Death ARIMA Forecast
2020-08-29,691.2704165461452
2020-08-30,455.9578127099412
2020-08-31,588.8695654614173
2020-09-01,927.7501724000596
2020-09-02,1156.0041803706342
2020-09-03,1167.6214027422056
2020-09-04,961.5967178904798
2020-09-05,654.7320066175545
2020-09-06,496.5451285911705
2020-09-07,620.1605762402006
2020-09-08,909.7710611628152
2020-09-09,1144.589351884774
2020-09-10,1160.8795248143576
2020-09-11,944.2571621982127
2020-09-12,656.285932889484
2020-09-13,519.8730966209309
2020-09-14,635.3392254206713
2020-09-15,908.8305289426936
2020-09-16,1134.2084779884312
2020-09-17,1144.149228545392
2020-09-18,932.7282480492944
2020-09-19,662.0454782285283
2020-09-20,537.291763620507
2020-09-21,649.540496922287
2020-09-22,910.6312116525819
2020-09-23,1122.7180328194556
2020-09-24,1127.1801455831035
2020-09-25,923.4377038849756
2020-09-26,667.756377298886
2020-09-27,553.0675919297328
