Date,US Confirmed,US Death
2020-08-29,47491.482932150146,1035.0142962154068
2020-08-30,42511.365119076596,704.4428882072452
2020-08-31,36621.83448796354,613.4996624233406
2020-09-01,45071.47683372567,1247.9369280110568
2020-09-02,46237.3253857035,1271.0336202736357
2020-09-03,44188.38688903743,1070.381106242481
2020-09-04,48094.361644389224,1094.9213417714711
2020-09-05,44678.33198335004,1001.8128010879497
2020-09-06,36165.85439152356,617.1085205893685
2020-09-07,38981.552715164114,613.4996624233406
2020-09-08,39221.85507511294,1188.0298824549927
2020-09-09,44261.41163446357,1174.3162214240865
2020-09-10,45838.23666070016,1097.8084283042936
2020-09-11,45999.57040059513,996.7603996555105
